"Issue Type","Summary","Description","Acceptance Criteria","Epic Name","Parent","Priority","Labels","Components","Story Points","Sprint","Owner","Dependencies"
"Story","Ship role model and permission matrix","Implement firm_admin, counselor, participant, sponsor_viewer roles with explicit permissions and audit-safe access control.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,rbac,security,wl-s1","Engineering","8","Sprint WL-1","Engineering Lead","Implement tenant entity and hard data scoping"
"Sub-task","AC: Role assignment available to admins","Provide role assignment controls for firm admins.","Firm admins can assign and update role membership from admin controls.","White-Label Transition MVP (8-10 Weeks)","Ship role model and permission matrix","Highest","white-label,ac,rbac,wl-s1","Engineering","2","Sprint WL-1","Engineering Lead",""
"Sub-task","AC: Permission enforcement and logging","Block unauthorized access and log denied requests.","Permission matrix is enforced on key surfaces and denied access events are logged.","White-Label Transition MVP (8-10 Weeks)","Ship role model and permission matrix","Highest","white-label,ac,rbac,wl-s1","Engineering","2","Sprint WL-1","Engineering Lead",""
"Story","Add program and track configuration","Add program entity and two MVP tracks: executive_transition and professional_transition with configurable templates.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,programs,tracks,wl-s2","Engineering","8","Sprint WL-2","Engineering Lead","Implement tenant entity and hard data scoping | Ship role model and permission matrix"
"Sub-task","AC: Program creation with track selection","Enable program creation flow with track selection.","Program creation supports selecting executive_transition or professional_transition tracks.","White-Label Transition MVP (8-10 Weeks)","Add program and track configuration","Highest","white-label,ac,tracks,wl-s2","Engineering","2","Sprint WL-2","Engineering Lead",""
"Sub-task","AC: Track templates and admin-only switching","Support track templates with controlled switching.","Each track has separate language and milestone templates and only firm_admin can change assigned track.","White-Label Transition MVP (8-10 Weeks)","Add program and track configuration","Highest","white-label,ac,tracks,wl-s2","Engineering","2","Sprint WL-2","Engineering Lead",""
"Story","Create track-specific onboarding templates","Build track-aware onboarding checklists, milestone copy, and first-week goals for executive and non-executive participants.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,onboarding,templates,wl-s2","Product","5","Sprint WL-2","Product Lead","Add program and track configuration"
"Sub-task","AC: Tenant-editable onboarding templates","Allow tenant-level editing of both track onboarding templates.","Executive and professional onboarding templates are editable at tenant level.","White-Label Transition MVP (8-10 Weeks)","Create track-specific onboarding templates","High","white-label,ac,onboarding,wl-s2","Product","1","Sprint WL-2","Product Lead",""
"Sub-task","AC: Checklist completion telemetry","Capture checklist completion and verify time-to-start threshold.","First-week checklist completion is instrumented and onboarding can be started in under 10 minutes.","White-Label Transition MVP (8-10 Weeks)","Create track-specific onboarding templates","High","white-label,ac,onboarding,wl-s2","Product","1","Sprint WL-2","Product Lead",""
"Story","Launch cohort operations dashboard","Deliver cohort view for activation, momentum, stall risk, overdue actions, and intervention queue by cohort.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,cohort,ops,dashboard,wl-s2","Engineering","8","Sprint WL-2","Engineering Lead","Add program and track configuration"
"Sub-task","AC: Cohort filters and risk ranking","Provide cohort filtering and ranked risk list with rationale.","Firm admin and counselor can filter cohorts and view ranked at-risk participants with rationale.","White-Label Transition MVP (8-10 Weeks)","Launch cohort operations dashboard","Highest","white-label,ac,cohort,wl-s2","Engineering","2","Sprint WL-2","Engineering Lead",""
"Sub-task","AC: Dashboard performance target met","Validate dashboard load and query performance at expected cohort size.","Dashboard meets agreed performance target under normal cohort load.","White-Label Transition MVP (8-10 Weeks)","Launch cohort operations dashboard","Highest","white-label,ac,cohort,wl-s2","Engineering","2","Sprint WL-2","Engineering Lead",""
"Story","Implement counselor pre-session snapshot","Provide one-screen what-changed view before sessions: activity delta, stalled lanes, overdue actions, and next recommended move.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,counselor,workflow,wl-s3","Engineering","5","Sprint WL-3","Engineering Lead","Launch cohort operations dashboard"
"Sub-task","AC: Two-minute prep workflow","Design one-screen prep flow covering change deltas and priority actions.","Counselor can complete pre-session prep in under 2 minutes from one screen.","White-Label Transition MVP (8-10 Weeks)","Implement counselor pre-session snapshot","High","white-label,ac,counselor,wl-s3","Engineering","1","Sprint WL-3","Engineering Lead",""
"Sub-task","AC: Snapshot usage instrumented","Track counselor pre-session snapshot usage events.","Snapshot usage events are emitted with tenant, counselor, and participant context.","White-Label Transition MVP (8-10 Weeks)","Implement counselor pre-session snapshot","High","white-label,ac,counselor,wl-s3","Engineering","1","Sprint WL-3","Engineering Lead",""
"Story","Ship action-plan and weekly loop tracking","Add structured action plan with due dates, reminders, completion tracking, and weekly loop completion status.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,engagement,weekly-loop,wl-s3","Engineering","5","Sprint WL-3","Engineering Lead","Implement counselor pre-session snapshot"
"Sub-task","AC: Reminder and completion states","Implement due-date reminders and completion states visible to both participant and counselor.","Participants receive reminders and completion states are visible in counselor and participant views.","White-Label Transition MVP (8-10 Weeks)","Ship action-plan and weekly loop tracking","High","white-label,ac,weekly-loop,wl-s3","Engineering","1","Sprint WL-3","Engineering Lead",""
"Sub-task","AC: Weekly loop KPI queryable","Make weekly loop completion metric available by cohort.","Weekly loop completion metric is queryable at participant and cohort levels.","White-Label Transition MVP (8-10 Weeks)","Ship action-plan and weekly loop tracking","High","white-label,ac,weekly-loop,wl-s3","Engineering","1","Sprint WL-3","Engineering Lead",""
"Story","Add outcomes event schema and KPI dictionary","Implement standardized event model and metric dictionary: activation_complete, session_prep_viewed, weekly_loop_complete, interview_stage_advance, offer_recorded.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,analytics,event-model,wl-s3","Analytics","5","Sprint WL-3","Analytics Lead","Add program and track configuration | Launch cohort operations dashboard"
"Sub-task","AC: Canonical events emitted","Emit canonical events with required dimensions.","All canonical events emit tenant, program, track, and cohort dimensions.","White-Label Transition MVP (8-10 Weeks)","Add outcomes event schema and KPI dictionary","Highest","white-label,ac,analytics,wl-s3","Analytics","1","Sprint WL-3","Analytics Lead",""
"Sub-task","AC: KPI dictionary published and validated","Publish KPI dictionary and pass data quality checks.","Metric dictionary is published and data QA checks pass for core event streams.","White-Label Transition MVP (8-10 Weeks)","Add outcomes event schema and KPI dictionary","Highest","white-label,ac,analytics,wl-s3","Analytics","1","Sprint WL-3","Analytics Lead",""
"Story","Generate weekly sponsor/internal report export","Build weekly snapshot export with KPI trends, risk summary, interventions, and claims-context metadata.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,reporting,sponsor,wl-s4","Engineering","5","Sprint WL-4","Engineering Lead","Add outcomes event schema and KPI dictionary"
"Sub-task","AC: Export metadata present","Add generated_by and generated_at metadata to exports.","All weekly report exports include generated_by and generated_at fields.","White-Label Transition MVP (8-10 Weeks)","Generate weekly sponsor/internal report export","High","white-label,ac,reporting,wl-s4","Engineering","1","Sprint WL-4","Engineering Lead",""
"Sub-task","AC: Multi-format export with claims context","Provide CSV and PDF outputs with claims context labeling.","CSV and PDF exports are available and include directional vs validated claims context.","White-Label Transition MVP (8-10 Weeks)","Generate weekly sponsor/internal report export","High","white-label,ac,reporting,wl-s4","Engineering","1","Sprint WL-4","Engineering Lead",""
"Story","Implement audit events and trust pack surfaces","Log access, role changes, and report exports; publish trust artifacts and data boundary statement for partner due diligence.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,trust,governance,audit,wl-s4","Product","5","Sprint WL-4","Product Lead","Ship role model and permission matrix | Generate weekly sponsor/internal report export"
"Sub-task","AC: Audit events cover critical actions","Capture audit events for access, role change, and export actions.","Audit event records are generated for critical governance actions.","White-Label Transition MVP (8-10 Weeks)","Implement audit events and trust pack surfaces","Highest","white-label,ac,trust,wl-s4","Product","1","Sprint WL-4","Product Lead",""
"Sub-task","AC: Trust artifacts publishable and reviewable","Publish data boundary and claims policy artifacts for partner review.","Trust page includes role boundaries and claims policy and passes legal/procurement checklist review.","White-Label Transition MVP (8-10 Weeks)","Implement audit events and trust pack surfaces","Highest","white-label,ac,trust,wl-s4","Product","1","Sprint WL-4","Product Lead",""
"Story","Package pricing and billing for three partner tiers","Implement billing configuration and sales packaging for Solo, Boutique, and Outplacement tiers with included participants and overage rules.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,pricing,billing,wl-s4","Product","5","Sprint WL-4","Product Lead","Define white-label PRD and execution guardrails"
"Sub-task","AC: Tier rules configurable in admin","Implement tier configuration for base fee, included participants, and overage policy.","Tier rules are configurable in admin and persist correctly per tenant.","White-Label Transition MVP (8-10 Weeks)","Package pricing and billing for three partner tiers","High","white-label,ac,pricing,wl-s4","Product","1","Sprint WL-4","Product Lead",""
"Sub-task","AC: Invoice and discount logic verified","Validate invoice construction and annual discount rules.","Invoice line items reflect base plus overage and annual prepay discount is correctly applied.","White-Label Transition MVP (8-10 Weeks)","Package pricing and billing for three partner tiers","High","white-label,ac,pricing,wl-s4","Product","1","Sprint WL-4","Product Lead",""
"Story","Create pilot onboarding kit and conversion playbook","Deliver pilot start checklist, week-1 checkpoint, midpoint review, closeout template, and pilot-to-paid decision flow.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,pilot,enablement,wl-s5","Partnerships","3","Sprint WL-5","Partnerships Lead","Implement audit events and trust pack surfaces | Package pricing and billing for three partner tiers"
"Sub-task","AC: Pilot checklist operationalized","Roll out standardized pilot checklist to all pilot accounts.","All pilot accounts use the standardized pilot checklist and week-1 checkpoint.","White-Label Transition MVP (8-10 Weeks)","Create pilot onboarding kit and conversion playbook","High","white-label,ac,pilot,wl-s5","Partnerships","1","Sprint WL-5","Partnerships Lead",""
"Sub-task","AC: Closeout and renewal recommendation template","Deliver closeout template with KPI delta and renewal recommendation fields.","Closeout template includes KPI deltas and explicit renewal/expansion recommendation.","White-Label Transition MVP (8-10 Weeks)","Create pilot onboarding kit and conversion playbook","High","white-label,ac,pilot,wl-s5","Partnerships","1","Sprint WL-5","Partnerships Lead",""
"Story","Run pilot validation and publish case-study package","Execute pilot validation with at least three partners and compile case-study assets with approval flags.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,validation,case-studies,wl-s5","Growth","5","Sprint WL-5","Growth Lead","Create pilot onboarding kit and conversion playbook | Generate weekly sponsor/internal report export"
"Sub-task","AC: Pilot count and conversion threshold achieved","Validate minimum pilot volume and pilot-to-paid conversion performance.","At least three pilots are launched and pilot-to-paid conversion is at least 40 percent.","White-Label Transition MVP (8-10 Weeks)","Run pilot validation and publish case-study package","Highest","white-label,ac,validation,wl-s5","Growth","1","Sprint WL-5","Growth Lead",""
"Sub-task","AC: Publishable proof assets secured","Capture approval for partner proof assets.","At least two case studies are approved with named or permissioned proof blocks.","White-Label Transition MVP (8-10 Weeks)","Run pilot validation and publish case-study package","Highest","white-label,ac,validation,wl-s5","Growth","1","Sprint WL-5","Growth Lead",""
