Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Task,Add accomplishment record and relationship-warmth memory loop,"Create structured executive memory layer for accomplishments, key contacts, and relationship-warmth reminders between searches. Acceptance Criteria: accomplishment capture and contact warmth loop are visible and usable.",Integrated Transition System Gap Closure (Executive Lifecycle),,High,"integrated-transition,executives,memory,its-3",Engineering,5,Sprint ITS-3,Engineering Lead,"Launch executive optionality mode"
Task,Build executive decision cockpit with risk and constraints scoring,"Create executive decision cockpit for active search tradeoffs, role-fit evaluation, and irreversible decision framing. Include weighted what-matters criteria (for example: location, family impact, base and total compensation, industry fit, brand impact, lifestyle, timing) plus user-defined custom factors for target and offer comparison. Distinguish hard constraints from weighted preferences so must-have gates can disqualify targets and offers before weighted scoring. Capture pre-interview and post-interview thoughts with perceived-fit deltas, confidence deltas, and objection notes by stakeholder audience. Acceptance Criteria: cockpit surfaces decision owner, confidence, blockers, next irreversible choice, weighted fit score, weighted risk score, explicit tradeoff notes, must-have gate status, pre/post interview reflections, and target rankings both overall and by criteria.",Integrated Transition System Gap Closure (Executive Lifecycle),,High,"integrated-transition,executives,decision,its-3",Engineering,5,Sprint ITS-3,Engineering Lead,
Task,Launch post-landing 30/60/90 mode with stakeholder trust map and early-win planner,"Create first-class post-landing workflow with onboarding narrative, stakeholder trust map, early-win story planner, and next-90-day milestones. Acceptance Criteria: 30/60/90 mode available as distinct executive state with saved artifacts, first-quarter relationship strategy, and advisor-supported onboarding narrative.",Integrated Transition System Gap Closure (Executive Lifecycle),,Highest,"integrated-transition,executives,post-landing,its-5",Engineering,8,Sprint ITS-5,Engineering Lead,"Build executive decision cockpit with risk and constraints scoring"
Task,Launch board and governance workflow pack,"Create board-track workflow package covering governance narrative, relationship cadence, committee-fit prep, and long-horizon monitoring. Acceptance Criteria: board/governance route and artifact pack published.",Integrated Transition System Gap Closure (Executive Lifecycle),,High,"integrated-transition,executives,board,its-5",Product,5,Sprint ITS-5,Product Lead,"Launch executive optionality mode"
Task,Add confidential in-role executive route messaging and subtle external-positioning guidance,"Create public route and messaging for quiet-search executives emphasizing confidentiality-safe monitoring and low-visibility momentum. Include subtle external-positioning guidance for profile updates and outreach posture without overt job-search signaling. Acceptance Criteria: public route live and linked from executive surfaces with signal-level guidance and confidentiality guardrails.",Integrated Transition System Gap Closure (Executive Lifecycle),,Medium,"integrated-transition,executives,confidential,its-3",Content,3,Sprint ITS-3,Content Lead,"Launch executive optionality mode with persona variants"
Task,Publish lifecycle templates across executive states and executive branding profile,"Create explicit templates for optionality, active campaign, and post-landing executive states, plus an executive branding profile artifact with narrative thesis, leadership proof points, and audience-specific variants. Acceptance Criteria: templates and branding profile are available in public guidance or product workflow support and linked from core executive surfaces.",Integrated Transition System Gap Closure (Executive Lifecycle),,Medium,"integrated-transition,executives,templates,its-6",Content,3,Sprint ITS-6,Content Lead,"Launch executive optionality mode with persona variants | Launch post-landing 30/60/90 mode with stakeholder trust map and early-win planner"
Task,Build or stage outplacement operator console,"Create visible partner-grade operator console or high-fidelity demo showing cohort health, exceptions, interventions, and readiness status. Acceptance Criteria: partner buyers can see operating-system proof, not only docs.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Highest,"integrated-transition,outplacement,operator,its-4",Engineering,8,Sprint ITS-4,Engineering Lead,
Task,Create sponsor-ready monthly report and executive readout,"Build sponsor-safe monthly report and executive readout combining activation, action velocity, prep readiness, stall index, and intervention narrative. Acceptance Criteria: report template is real, reviewable, and mapped to partner metrics.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Highest,"integrated-transition,sponsor,reporting,its-4",Product,5,Sprint ITS-4,Product Lead,"Build or stage outplacement operator console"
Task,Publish enterprise coach cohort governance pack,"Create governance pack for enterprise-sponsored coaching cohorts including metric dictionary, intervention thresholds, and review cadence. Acceptance Criteria: governance pack published and linked from coach or enterprise partner surfaces.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,High,"integrated-transition,coach,enterprise,its-4",Content,5,Sprint ITS-4,Content Lead,"Publish claims taxonomy and public proof policy"
Task,Add CHRO and sponsor liaison page,"Create public page for CHRO and sponsor buyers focused on risk visibility, transition credibility, and board-safe reporting. Acceptance Criteria: page published and linked from outplacement and enterprise partner paths.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,High,"integrated-transition,chro,sponsor,its-4",Content,3,Sprint ITS-4,Content Lead,"Create sponsor-ready monthly report and executive readout"
Task,Build partner analytics and cohort benchmarking layer,"Add partner analytics comparing cohorts, counselor variance, and recurring benchmark signals. Acceptance Criteria: benchmarking layer visible in partner or admin surfaces with approved metric definitions.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Medium,"integrated-transition,partners,analytics,its-6",Analytics,5,Sprint ITS-6,Analytics Lead,"Build or stage outplacement operator console | Create sponsor-ready monthly report and executive readout"
Task,Add search-affiliate coach persona route and proof,"Create persona-specific route and proof package for search-affiliate transition coaches. Acceptance Criteria: public route live with trust boundary, workflow fit, and proof examples.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Medium,"integrated-transition,coach,search-affiliate,its-4",Content,3,Sprint ITS-4,Content Lead,
Task,Publish partner closeout and renewal packet templates,"Create pilot closeout, renewal, and expansion packet templates for partner programs. Acceptance Criteria: templates published and tied to day-30/day-60/day-90 decision gates.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Medium,"integrated-transition,partners,renewal,its-6",Operations,3,Sprint ITS-6,Operations Lead,"Create sponsor-ready monthly report and executive readout"
