Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,The Tonight Brief (Brief Excellence),"One-page default brief, dark editorial shell on the paid surface, candidate fingerprint enforcement, interviewer-specific prep. Exit criteria: Tonight view default; luxury static gate passes on prep surface; fingerprint validator at 100%. Source: docs/brief-excellence-plan-2026-07-05.md Phase 3.",The Tonight Brief (Brief Excellence),,High,"brief-excellence,epic,usability,sprint-be-3",Product,,,,
Task,Tonight view as one-page default prep brief,"Build a one-page default view: Bottom Line, top three pushbacks, five likely questions, How to Close; printable; full dossier one click deeper. Acceptance Criteria: Tonight view is the default landing state; renders on one screen and one printed page; dossier reachable in one click.",The Tonight Brief (Brief Excellence),,High,"brief-excellence,usability,sprint-be-3",Engineering,5,Sprint BE-3,Engineering Lead,
Task,Dark editorial shell for the paid prep surface,"Port the demo renderer (slate-950, orange section headers, mono micro-labels) to prep-client; keep provenance badges legible on dark. Acceptance Criteria: prep surface passes the luxury static gate; visual parity with or above the public demo brief.",The Tonight Brief (Brief Excellence),,High,"brief-excellence,luxury,sprint-be-3",Engineering,5,Sprint BE-3,Engineering Lead,
Task,Candidate fingerprint validator,"Enforce server-side that no brief section renders without at least one candidate-specific anchor (career history, STAR story, or positioning line). Acceptance Criteria: 100% of new briefs pass; violations regenerate the offending section automatically.",The Tonight Brief (Brief Excellence),,High,"brief-excellence,personalization,sprint-be-3",Engineering,5,Sprint BE-3,Engineering Lead,Proper-noun evidence validator for generated briefs
Task,Interviewer-specific prep for attached contacts,"When a contact is attached to the company, generate a stakeholder read for that person using the Stakeholder Signal Map frame. Acceptance Criteria: contact-attached briefs include the interviewer read; pattern-language floor applies when contact data is thin; nothing fabricated about the named person.",The Tonight Brief (Brief Excellence),,Medium,"brief-excellence,personalization,sprint-be-3",Engineering,5,Sprint BE-3,Engineering Lead,Evidence-count grounding gate for intel-heavy prep sections
Epic,The Living Ritual (Brief Excellence),"The daily brief reads like intelligence and never degrades silently. Exit criteria: briefing week-1 ritual adoption at or above 35% of activated users; zero silent fallbacks. Source: docs/brief-excellence-plan-2026-07-05.md Phase 4.",The Living Ritual (Brief Excellence),,High,"brief-excellence,epic,ritual,sprint-be-4",Product,,,,
Task,Signal-density model tiering for the daily briefing,"Use Sonnet on days with signals or new matches and Haiku on quiet days; raise the content cap on signal days. Acceptance Criteria: signal-day briefings measurably denser; cost delta tracked; quiet-day behavior unchanged.",The Living Ritual (Brief Excellence),,High,"brief-excellence,ritual,sprint-be-4",Engineering,5,Sprint BE-4,Engineering Lead,
Task,Honest fallback label and signal freshness stamps,"Add a visible label to the non-AI credit-exhaustion fallback and a per-signal freshness stamp (detected N hours/days ago). Acceptance Criteria: zero silent fallbacks; every signal shows freshness.",The Living Ritual (Brief Excellence),,High,"brief-excellence,integrity,sprint-be-4",Engineering,3,Sprint BE-4,Engineering Lead,
Task,Thesis relevance line in the daily briefing,"Add one line per briefing connecting today's items to the user's role thesis, grounded in stored role/persona context. Acceptance Criteria: line present whenever thesis context exists; never generic filler.",The Living Ritual (Brief Excellence),,Medium,"brief-excellence,personalization,sprint-be-4",Engineering,3,Sprint BE-4,Engineering Lead,
Epic,The Learning Loop (Brief Excellence),"Brief efficacy is measured and generation cost is governed. Exit criteria: outcome captured on at least 40% of used briefs; per-activated-user generation cost known and under target. Source: docs/brief-excellence-plan-2026-07-05.md Phase 5.",The Learning Loop (Brief Excellence),,High,"brief-excellence,epic,learning,sprint-be-5",Product,,,,
Task,Post-interview outcome capture,"Add one-tap outcome capture (advanced / rejected / offer) attached to brief lifecycle; prompt appears on next visit after used_at is set. Acceptance Criteria: outcome captured on at least 40% of used briefs; outcome stored on the brief row.",The Learning Loop (Brief Excellence),,High,"brief-excellence,learning,sprint-be-5",Engineering,5,Sprint BE-5,Engineering Lead,Brief version history UI
Task,Efficacy baseline and evals feed,"Correlate interview outcomes with brief usage in llm_traces and the evals pipeline; produce an internal monthly efficacy report; feed failure categories into the golden set. Acceptance Criteria: first monthly report produced; golden set gains outcome-labeled records.",The Learning Loop (Brief Excellence),,High,"brief-excellence,learning,sprint-be-5",Analytics,5,Sprint BE-5,Analytics Lead,Post-interview outcome capture
Task,Generation cost guardrails,"Implement context-hash section caching so unchanged context never regenerates, regeneration metering on trial accounts, and a monthly per-user generation cost report against plan price. Acceptance Criteria: cache hit path verified; trial metering active; cost report exists.",The Learning Loop (Brief Excellence),,High,"brief-excellence,economics,sprint-be-5",Engineering,5,Sprint BE-5,Engineering Lead,
