Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Task,Run role-workflow fit QA and launch gate,Validate role workflow relevance and quality before broader rollout.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,High,"role-expansion,qa,launch-gate,sprint-rx3",QA,5,Sprint RX-3,QA Lead,"Create role-specific brief generator v1 | Adapt templates and rubrics by role family"
Task,Stand up monthly signal discovery council cadence,Establish monthly operating cadence to discover evaluate pilot and deprecate signal sources with accountable owners.,Signal Intelligence and Source Mining Expansion,,Highest,"role-expansion,signals,council,sprint-rx1",Data,3,Sprint RX-1,Data Lead,
Task,Create source inventory and rights registry,Build canonical inventory of sources with rights status access method jurisdiction tags cost and reliability.,Signal Intelligence and Source Mining Expansion,,Highest,"role-expansion,signals,compliance,sprint-rx1",Legal,5,Sprint RX-1,Legal Lead,Stand up monthly signal discovery council cadence
Task,Ingest announcements filings and transcript sources,Integrate company announcements filings and earnings transcripts into normalized signal pipelines.,Signal Intelligence and Source Mining Expansion,,Highest,"role-expansion,signals,ingestion,sprint-rx2",Engineering,8,Sprint RX-2,Engineering Lead,Create source inventory and rights registry
Task,Ingest hiring and org-change sources,Add hiring velocity org changes leadership movements and recruiter activity feeds for role-specific relevance.,Signal Intelligence and Source Mining Expansion,,High,"role-expansion,signals,hiring,sprint-rx2",Engineering,5,Sprint RX-2,Engineering Lead,Create source inventory and rights registry
Task,Build role-aware signal scoring model v1,Implement signal quality scoring with freshness reliability relevance and actionability factors.,Signal Intelligence and Source Mining Expansion,,Highest,"role-expansion,signals,scoring,sprint-rx2",Data,8,Sprint RX-2,Data Lead,"Ingest announcements filings and transcript sources | Ingest hiring and org-change sources"
Task,Implement signal SLA precision and decay controls,Enforce precision targets and decay windows with deprioritization of stale signals.,Signal Intelligence and Source Mining Expansion,,High,"role-expansion,signals,sla,sprint-rx3",Data,5,Sprint RX-3,Data Lead,Build role-aware signal scoring model v1
Task,Publish signal source onboarding checklist and runbook,Create monthly source onboarding checklist and runbook for pilot to production transitions.,Signal Intelligence and Source Mining Expansion,,Medium,"role-expansion,signals,runbook,sprint-rx3",Operations,3,Sprint RX-3,Operations Lead,"Create source inventory and rights registry | Implement signal SLA precision and decay controls"
Task,Build relationship graph and warm-path resolver,Create relationship graph logic to rank warm introduction paths by confidence and influence.,Relationship Targeting and Recruiter Intelligence,,Highest,"role-expansion,relationships,warm-path,sprint-rx2",Engineering,8,Sprint RX-2,Engineering Lead,
Task,Implement recruiter targeting by company and role lane,Add recruiter discovery and ranking by company role-family fit and hiring activity.,Relationship Targeting and Recruiter Intelligence,,Highest,"role-expansion,recruiters,targeting,sprint-rx2",Product,5,Sprint RX-2,Product Lead,Build relationship graph and warm-path resolver
Task,Add relationship targeting score and action tiers,Implement RTS and opportunity priority scoring with auto recommend review and block thresholds.,Relationship Targeting and Recruiter Intelligence,,High,"role-expansion,relationships,scoring,sprint-rx3",Data,5,Sprint RX-3,Data Lead,"Build relationship graph and warm-path resolver | Build role-aware signal scoring model v1"
Task,Create outreach quality gates and anti-spam limits,Enforce minimum relationship quality thresholds message quality checks and outreach rate limits.,Relationship Targeting and Recruiter Intelligence,,High,"role-expansion,outreach,anti-spam,sprint-rx3",Engineering,5,Sprint RX-3,Engineering Lead,Add relationship targeting score and action tiers
Task,Ship human-review queue for low-confidence recommendations,Add reviewer workflow for low-confidence relationship and contact recommendations with decision feedback loop.,Relationship Targeting and Recruiter Intelligence,,High,"role-expansion,review-queue,quality,sprint-rx3",Engineering,5,Sprint RX-3,Engineering Lead,"Add relationship targeting score and action tiers | Create outreach quality gates and anti-spam limits"
Task,Design contact intelligence premium packaging and credits,Finalize premium add-on packaging credits and confidence-tier presentation rules.,Contact Intelligence Premium and Legal Foundation,,High,"role-expansion,contact-intelligence,pricing,sprint-rx3",Product,3,Sprint RX-3,Product Lead,
Task,Integrate work-email verification providers,Implement provider integrations for verified work-email suggestions with confidence scoring.,Contact Intelligence Premium and Legal Foundation,,High,"role-expansion,contact-intelligence,integration,sprint-rx4",Engineering,8,Sprint RX-4,Engineering Lead,Design contact intelligence premium packaging and credits
Task,Implement contact confidence tiers and export controls,Ship tiered confidence UX with safe defaults and premium export controls.,Contact Intelligence Premium and Legal Foundation,,High,"role-expansion,contact-intelligence,ux,sprint-rx4",Engineering,5,Sprint RX-4,Engineering Lead,Integrate work-email verification providers
Task,Update terms and conditions for new workflows and premium contact intelligence,Publish updated terms with acceptable use anti-abuse billing and no-guarantee language and require acceptance for new users.,Contact Intelligence Premium and Legal Foundation,,Highest,"role-expansion,legal,terms,sprint-rx4",Legal,5,Sprint RX-4,Legal Lead,Design contact intelligence premium packaging and credits
Task,Update privacy policy and subprocessor disclosures,Publish policy updates for new data categories legal basis retention and subprocessor changes.,Contact Intelligence Premium and Legal Foundation,,Highest,"role-expansion,legal,privacy,sprint-rx4",Legal,5,Sprint RX-4,Legal Lead,Update terms and conditions for new workflows and premium contact intelligence
Task,Implement signup consent gating and policy version audit log,Require new-user clickwrap on updated legal docs and persist versioned acceptance records.,Contact Intelligence Premium and Legal Foundation,,Highest,"role-expansion,legal,consent,sprint-rx4",Engineering,5,Sprint RX-4,Engineering Lead,"Update terms and conditions for new workflows and premium contact intelligence | Update privacy policy and subprocessor disclosures"
Task,Launch role-lane messaging and landing page refresh,Ship role-family messaging and lane pages for leadership technical and delivery leadership audiences.,GTM Brand and Learning System for New Roles,,High,"role-expansion,gtm,messaging,sprint-rx4",Growth,8,Sprint RX-4,Growth Lead,
Task,Implement deeper brand system updates across role lanes,Apply role-lane brand architecture and trust-proof patterns without diluting executive premium positioning.,GTM Brand and Learning System for New Roles,,High,"role-expansion,brand,design,sprint-rx5",Design,5,Sprint RX-5,Design Lead,Launch role-lane messaging and landing page refresh
Task,Publish tutorial MVP set videos articles and chat coach prompts,Deliver starter curriculum with short videos articles and guided chat interactions for each role family.,GTM Brand and Learning System for New Roles,,High,"role-expansion,learning,tutorials,sprint-rx5",Content,5,Sprint RX-5,Content Lead,Launch role-lane messaging and landing page refresh
Task,Launch recruiter outreach campaign toolkit by role family,Ship outreach messaging packs and cadence guides for company recruiter and hiring manager channels.,GTM Brand and Learning System for New Roles,,Medium,"role-expansion,gtm,recruiters,sprint-rx5",Growth,3,Sprint RX-5,Growth Lead,"Implement recruiter targeting by company and role lane | Publish tutorial MVP set videos articles and chat coach prompts"
Task,Instrument KPI chain signal-to-relationship-to-interview,Implement end-to-end KPI attribution from signal quality to relationship quality to interview outcomes.,GTM Brand and Learning System for New Roles,,High,"role-expansion,analytics,kpi-chain,sprint-rx5",Analytics,5,Sprint RX-5,Analytics Lead,"Build role-aware signal scoring model v1 | Add relationship targeting score and action tiers"
Task,Run beta launch readiness review engineering legal gtm,Execute cross-functional beta checklist and approve go-no-go decision for staged rollout.,GTM Brand and Learning System for New Roles,,Highest,"role-expansion,beta,launch-gate,sprint-rx6",Operations,5,Sprint RX-6,Operations Lead,"Implement signup consent gating and policy version audit log | Instrument KPI chain signal-to-relationship-to-interview | Run role-workflow fit QA and launch gate"
