week_start,metric_key,agent_role,metric_name,threshold_operator,threshold_value,actual_value,status,variance_to_threshold,source_system,source_object,source_field,owner,action_if_breached,notes
,enablement_brief_delivery,Sales Enablement,Calls with prep brief delivered before meeting,>=,90,,PENDING,,Notion,briefs,prep_brief_delivery_pct,Sales Enablement Agent,Templatize prep workflow,
,enablement_same_day_recap,Sales Enablement,Qualified calls with same-day recap,>=,95,,PENDING,,HubSpot,activities,same_day_recap_pct,Sales Enablement Agent,Auto-generate recap drafts,
,enablement_objection_improve,Sales Enablement,Top objection close-rate improvement (4-week),>=,10,,PENDING,,HubSpot,deals,objection_close_improve_pct,Sales Enablement Agent,Update rebuttal playbook,
,enablement_time_saved,Sales Enablement,Founder prep time saved (hours/week),>=,4,,PENDING,,Notion,ops,founder_hours_saved,Sales Enablement Agent,Increase automation coverage,
,analytics_event_coverage,Growth Analytics,Event coverage for required taxonomy,>=,95,,PENDING,,PostHog,events,event_coverage_pct,Growth Analytics Agent,Patch missing instrumentation,
,analytics_attribution_complete,Growth Analytics,Attribution completeness (UTM known),>=,90,,PENDING,,PostHog,events,utm_known_pct,Growth Analytics Agent,Enforce UTM required links,
,analytics_break_detect_time,Growth Analytics,Time-to-detect data break (hours),<=,24,,PENDING,,PostHog,alerts,data_break_detection_hours,Growth Analytics Agent,Add anomaly alerts,
,analytics_friday_dashboard,Growth Analytics,Dashboard delivered by Friday review,>=,100,,PENDING,,Notion,dashboard,friday_dashboard_delivery_pct,Growth Analytics Agent,Lock Thursday publish deadline,
,lifecycle_week2_activation,Lifecycle,Week-2 activation rate,>=,60,,PENDING,,PostHog,events,week2_activated_pct,Lifecycle Agent,Tune onboarding and nudges,
,lifecycle_delivery_success,Lifecycle,Nudge delivery success,>=,98,,PENDING,,Resend,emails,nudge_delivery_success_pct,Lifecycle Agent,Fix template or sender issues,
,lifecycle_human_assist,Lifecycle,Trial cohorts with >=1 human assist touch,>=,70,,PENDING,,HubSpot,activities,human_assist_touch_pct,Lifecycle Agent,Add assist tasks at day 5,
,lifecycle_trial_paid,Lifecycle,Trial-to-paid rolling 4 weeks,>=,20,,PENDING,,Stripe+HubSpot,subscriptions,trial_to_paid_pct_4wk,Lifecycle Agent,Increase save-call coverage,
,experiments_preregistered,Experimentation,Experiments launched with pre-registered metric,>=,100,,PENDING,,Notion,experiments,preregistered_pct,Experimentation Agent,Block launch without metric,
,experiments_conflicts,Experimentation,Overlapping conflicting tests,<=,0,,PENDING,,Notion,experiments,conflicting_tests_count,Experimentation Agent,Enforce single test calendar,
,experiments_idea_to_launch,Experimentation,Median days idea-to-launch,<=,7,,PENDING,,Notion,experiments,idea_to_launch_days,Experimentation Agent,Trim approval cycle,
,experiments_decisive_rate,Experimentation,Tests with decisive result,>=,70,,PENDING,,Notion,experiments,decisive_result_pct,Experimentation Agent,Improve hypothesis quality,
,proof_new_assets,Social Proof,New public proof assets created per week,>=,3,,PENDING,,Notion,proof,new_assets_count,Social Proof Agent,Increase review and snippet extraction,
,proof_trigger_send,Social Proof,Review ask sent at trigger point,>=,90,,PENDING,,HubSpot,workflows,review_trigger_send_pct,Social Proof Agent,Audit trigger automation,
,proof_freshness,Social Proof,Proof block freshness every 14 days,>=,100,,PENDING,,Notion,proof,proof_freshness_pct,Social Proof Agent,Schedule biweekly refresh,
,proof_conversion_lift,Social Proof,Proof-assisted conversion lift (8-week trend),>=,0,,PENDING,,PostHog,funnels,proof_conversion_lift_pct,Social Proof Agent,Rotate proof by segment,
,partner_meetings,Partner Channel,New partner meetings held,>=,3,,PENDING,,HubSpot,meetings,partner_meetings_count,Partner Channel Agent,Increase partner outreach volume,
,partner_meeting_to_pilot,Partner Channel,Meeting-to-pilot conversion,>=,25,,PENDING,,HubSpot,deals,partner_meeting_to_pilot_pct,Partner Channel Agent,Refine partner offer,
,partner_seat_growth,Partner Channel,Active partner seats net growth (monthly),>=,5,,PENDING,,Stripe+HubSpot,seats,partner_seat_growth_monthly,Partner Channel Agent,Focus expansion in active partners,
,partner_inactive_30d,Partner Channel,Inactive partner accounts over 30 days,<=,2,,PENDING,,HubSpot,accounts,inactive_partner_30d_count,Partner Channel Agent,Trigger reactivation sequence,
,controltower_brief_on_time,Executive Control-Tower,Friday briefing delivered on time,>=,100,,PENDING,,Notion,ops,friday_brief_ontime_pct,Executive Control-Tower Agent,Start prep on Thursday,
,controltower_breach_escalation,Executive Control-Tower,Critical KPI breaches escalated within 24h,>=,100,,PENDING,,Notion,ops,breach_escalation_24h_pct,Executive Control-Tower Agent,Enable instant alerts,
,controltower_decision_log,Executive Control-Tower,Decision log updated with owner/date,>=,100,,PENDING,,Notion,ops,decision_log_completeness_pct,Executive Control-Tower Agent,Make decision logging mandatory,
,controltower_unowned_actions,Executive Control-Tower,Unowned action items at week close,<=,0,,PENDING,,Notion,ops,unowned_actions_count,Executive Control-Tower Agent,Assign owner before close
