priority_rank,target_account,company_size_band,primary_role_lane,target_title,fit_tier,can_target_now,channel_primary,channel_secondary,trigger_hypothesis,outreach_angle,current_exec_name,status
47,Marqeta,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Issuing platform growth and margin pressure,Financial and strategic role-fit intelligence,TBD verify current holder,ready
48,Affirm,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,investor-referral,Consumer credit cycle and partner concentration,GTM and risk-adjusted trajectory analysis,TBD verify current holder,ready
49,SoFi,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Multi-product operating model complexity,Operational stability and board mandate clarity,TBD verify current holder,ready
50,Robinhood,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,board-referral,Regulatory and security scrutiny changes,Security mandate and governance-readiness signals,TBD verify current holder,ready
51,Coinbase,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,investor-referral,Regulatory evolution and trust requirements,Security and compliance investment intelligence,TBD verify current holder,ready
52,Block,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Portfolio mix and profitability optimization,Financial mandate timing and move-quality signals,TBD verify current holder,ready
53,PayPal,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,board-referral,Platform repositioning and growth mix changes,Revenue mandate clarity for pre-search decisions,TBD verify current holder,ready
54,Global Payments,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Payments integration and operating leverage mandates,Operational board-context intelligence,TBD verify current holder,ready
55,Fiserv,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Core modernization and platform integration,Digital transformation and role-scope validation,TBD verify current holder,ready
56,FIS,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Portfolio simplification and efficiency focus,Financial trajectory and mandate-fit signals,TBD verify current holder,ready
57,Paycom,1001-10000,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,peer-referral,Talent retention and org design optimization,Culture and operating model transition intelligence,TBD verify current holder,ready
58,Paylocity,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Mid-market GTM expansion priorities,Revenue role clarity before formal process,TBD verify current holder,ready
59,ADP,10001+,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,board-referral,Workforce and platform transformation,People strategy and board-context signal intelligence,TBD verify current holder,ready
60,Paychex,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,SMB demand cycle and margin management,Financial mandate and strategic timing signals,TBD verify current holder,ready
61,Gartner,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Platform and operating model modernization,Transformation-readiness and mandate confidence,TBD verify current holder,ready
62,CDW,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Distribution and services operating complexity,Operational health and role-risk intelligence,TBD verify current holder,ready
63,Insight Enterprises,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Services-led growth transition,Revenue trajectory signal analysis,TBD verify current holder,ready
64,Zillow,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Housing cycle volatility and capital allocation,Financial clarity and transition timing intelligence,TBD verify current holder,ready
65,Redfin,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Brokerage model efficiency and margin pressure,Operational mandate and board-alignment signals,TBD verify current holder,ready
66,Compass,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Agent productivity and market-share dynamics,Revenue mandate quality and move-risk assessment,TBD verify current holder,ready
67,Carvana,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Turnaround execution and balance-sheet pressure,Financial and strategic pre-search clarity,TBD verify current holder,ready
68,CarGurus,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Marketplace monetization shifts,Revenue trajectory and role scope validation,TBD verify current holder,ready
69,Expedia Group,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Travel demand volatility and operating complexity,Operational transition intelligence,TBD verify current holder,ready
70,Booking Holdings,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Capital deployment and platform growth priorities,Financial signal monitoring and role-risk validation,TBD verify current holder,ready
71,Airbnb,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Global GTM optimization and new supply growth,Revenue mandate de-risking pre-search,TBD verify current holder,ready
72,Etsy,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Marketplace mix shifts and margin pressure,Financial strategy and transition timing signals,TBD verify current holder,ready
73,Wayfair,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Supply chain and profitability focus,Operational mandate clarity and board confidence,TBD verify current holder,ready
74,eBay,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Platform modernization and trust initiatives,Digital transformation readiness and scope validation,TBD verify current holder,ready
75,DoorDash,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,investor-referral,Marketplace expansion and enterprise growth,Revenue signal intelligence and move-quality validation,TBD verify current holder,ready
76,Uber,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Global multi-line operating complexity,Operational health and strategic mandate signals,TBD verify current holder,ready
77,Lyft,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Profitability transition and competitive pressure,Financial mandate timing and risk de-risking,TBD verify current holder,ready
78,Instacart,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Retail media and enterprise monetization shifts,Revenue mandate and trajectory clarity,TBD verify current holder,ready
79,Stryker,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Global medtech operating scale and integration,Operational and board-context pre-search signals,TBD verify current holder,ready
80,Edwards Lifesciences,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Portfolio growth and margin allocation choices,Financial and strategic transition intelligence,TBD verify current holder,ready
81,Dexcom,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Digital health scaling and data platform complexity,Transformation-readiness and role-fit validation,TBD verify current holder,ready
82,ResMed,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Connected-care platform expansion,Digital org health and modernization signals,TBD verify current holder,ready
83,Insulet,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Growth investment and margin management,Financial trajectory and role timing intelligence,TBD verify current holder,ready
84,Hologic,10001+,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,board-referral,Talent strategy and global operating changes,People mandate and org-stability signals,TBD verify current holder,ready
85,Align Technology,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Channel expansion and growth optimization,Revenue trajectory validation pre-search,TBD verify current holder,ready
86,Illumina,10001+,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,board-referral,Regulatory and data-security complexity,Security governance and investment signal clarity,TBD verify current holder,ready
87,Baxter,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Global supply and operating redesign demands,Operational health and mandate confidence,TBD verify current holder,ready
88,Zimmer Biomet,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Portfolio mix and efficiency requirements,Financial strategy and move-quality signal intelligence,TBD verify current holder,ready
89,West Pharmaceutical,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Manufacturing digitization and platform upgrades,Transformation-readiness and role-scope signals,TBD verify current holder,ready
90,Moderna,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Post-pandemic portfolio and capital allocation shifts,Financial mandate timing and strategic clarity,TBD verify current holder,ready
91,Biogen,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,R&D portfolio and operating efficiency pressure,Operational board-alignment and role-risk validation,TBD verify current holder,ready
92,Vertex Pharmaceuticals,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,R&D and data platform modernization,Digital transformation and scope-validation signals,TBD verify current holder,ready
93,McKesson,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,board-referral,Healthcare distribution and services growth mix,Revenue mandate quality and trajectory signals,TBD verify current holder,ready
94,Cencora,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Global supply-chain and integration complexity,Operational stability and transition timing intelligence,TBD verify current holder,ready
95,Cardinal Health,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Margin and portfolio optimization pressures,Financial pre-search signal intelligence,TBD verify current holder,ready
96,DaVita,10001+,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,peer-referral,Workforce model and retention pressure,People strategy and org-health transition signals,TBD verify current holder,ready
97,United Rentals,10001+,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Cyclical demand and operating leverage priorities,Operational mandate and board-context validation,TBD verify current holder,ready
98,Cintas,10001+,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Service expansion and enterprise sales priorities,Revenue role timing and mandate clarity,TBD verify current holder,ready
99,Republic Services,10001+,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Operational technology and digital platform upgrades,Transformation-readiness and role-risk signals,TBD verify current holder,ready
100,Waste Management,10001+,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Capital allocation and operating efficiency balance,Financial and strategic pre-search clarity,TBD verify current holder,ready
